DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
"141259",141259,,MiniPAT,09:00:00 09-Mar-2016,,,,0.0,16.8,LightLoc
"141259",141259,,MiniPAT,09:00:00 10-Mar-2016,,,,0.0,17.0,LightLoc
"141259",141259,,MiniPAT,02:00:00 11-Mar-2016,,,,0.0,17.0,LightLoc
"141259",141259,,MiniPAT,03:00:00 12-Mar-2016,,,,0.0,17.5,LightLoc
"141259",141259,,MiniPAT,05:00:00 13-Mar-2016,,,,0.0,17.4,LightLoc
"141259",141259,,MiniPAT,02:00:00 14-Mar-2016,,,,0.0,16.9,LightLoc
"141259",141259,,MiniPAT,07:00:00 19-Mar-2016,,,,0.0,16.5,LightLoc
"141259",141259,,MiniPAT,02:00:00 20-Mar-2016,,,,0.0,17.5,LightLoc
"141259",141259,,MiniPAT,01:00:00 22-Mar-2016,,,,0.0,16.6,LightLoc
"141259",141259,,MiniPAT,01:00:00 23-Mar-2016,,,,0.0,16.7,LightLoc
"141259",141259,,MiniPAT,06:00:00 24-Mar-2016,,,,0.0,16.6,LightLoc
"141259",141259,,MiniPAT,08:00:00 25-Mar-2016,,,,0.0,16.3,LightLoc
"141259",141259,,MiniPAT,03:00:00 27-Mar-2016,,,,0.0,17.4,LightLoc
"141259",141259,,MiniPAT,01:00:00 28-Mar-2016,,,,0.0,17.0,LightLoc
"141259",141259,,MiniPAT,00:00:00 29-Mar-2016,,,,0.0,17.1,LightLoc
"141259",141259,,MiniPAT,08:00:00 30-Mar-2016,,,,0.0,17.1,LightLoc
"141259",141259,,MiniPAT,07:00:00 31-Mar-2016,,,,0.0,17.5,LightLoc
"141259",141259,,MiniPAT,01:00:00 01-Apr-2016,,,,0.0,17.0,LightLoc
"141259",141259,,MiniPAT,02:00:00 02-Apr-2016,,,,0.0,17.5,LightLoc
"141259",141259,,MiniPAT,01:00:00 04-Apr-2016,,,,0.0,17.5,LightLoc
"141259",141259,,MiniPAT,05:00:00 05-Apr-2016,,,,0.0,16.9,LightLoc
"141259",141259,,MiniPAT,00:00:00 06-Apr-2016,,,,0.0,16.6,LightLoc
"141259",141259,,MiniPAT,03:00:00 08-Apr-2016,,,,0.0,16.5,LightLoc
"141259",141259,,MiniPAT,13:00:00 10-Apr-2016,,,,0.0,16.7,LightLoc
"141259",141259,,MiniPAT,08:00:00 11-Apr-2016,,,,0.0,16.8,LightLoc
"141259",141259,,MiniPAT,15:00:00 11-Apr-2016,,,,0.0,16.6,Status
"141259",141259,,MiniPAT,17:00:00 11-Apr-2016,,,,0.0,16.6,Status
"141259",141259,,MiniPAT,20:00:00 11-Apr-2016,,,,0.0,16.6,Status
"141259",141259,,MiniPAT,21:00:00 11-Apr-2016,,,,0.0,16.5,Status
"141259",141259,,MiniPAT,04:00:00 12-Apr-2016,,,,0.0,16.4,LightLoc
"141259",141259,,MiniPAT,15:00:00 12-Apr-2016,,,,0.0,16.6,Status
"141259",141259,,MiniPAT,20:00:00 12-Apr-2016,,,,0.0,16.5,Status
"141259",141259,,MiniPAT,00:00:00 13-Apr-2016,,,,0.0,16.5,LightLoc
"141259",141259,,MiniPAT,11:00:00 13-Apr-2016,,,,0.0,16.5,Status
"141259",141259,,MiniPAT,12:00:00 13-Apr-2016,,,,0.0,16.5,Status
"141259",141259,,MiniPAT,09:00:00 14-Apr-2016,,,,0.0,17.0,Status
"141259",141259,,MiniPAT,10:00:00 14-Apr-2016,,,,0.0,17.0,Status
"141259",141259,,MiniPAT,21:00:00 14-Apr-2016,,,,0.0,17.1,Status
"141259",141259,,MiniPAT,09:00:00 15-Apr-2016,,,,0.0,17.0,Status
"141259",141259,,MiniPAT,19:00:00 15-Apr-2016,,,,0.0,16.9,Status
"141259",141259,,MiniPAT,20:00:00 15-Apr-2016,,,,0.0,16.9,Status
"141259",141259,,MiniPAT,06:00:00 16-Apr-2016,,,,0.0,16.9,Status
"141259",141259,,MiniPAT,07:00:00 16-Apr-2016,,,,0.0,16.9,Status
"141259",141259,,MiniPAT,08:00:00 16-Apr-2016,,,,0.0,17.0,Status
"141259",141259,,MiniPAT,11:00:00 16-Apr-2016,,,,0.0,17.0,Status
"141259",141259,,MiniPAT,18:00:00 16-Apr-2016,,,,0.0,17.2,Status
"141259",141259,,MiniPAT,22:00:00 16-Apr-2016,,,,0.0,17.0,Status
"141259",141259,,MiniPAT,23:00:00 16-Apr-2016,,,,0.0,17.0,Status
"141259",141259,,MiniPAT,11:00:00 17-Apr-2016,,,,0.0,16.8,Status
"141259",141259,,MiniPAT,16:00:00 17-Apr-2016,,,,0.0,17.0,Status
"141259",141259,,MiniPAT,21:00:00 17-Apr-2016,,,,0.0,16.9,Status
"141259",141259,,MiniPAT,22:00:00 17-Apr-2016,,,,0.0,16.8,Status
"141259",141259,,MiniPAT,09:00:00 18-Apr-2016,,,,0.0,16.5,Status
"141259",141259,,MiniPAT,14:00:00 18-Apr-2016,,,,0.0,17.5,Status
"141259",141259,,MiniPAT,22:00:00 19-Apr-2016,,,,0.0,16.9,Status
"141259",141259,,MiniPAT,05:00:00 20-Apr-2016,,,,0.0,16.8,Status
"141259",141259,,MiniPAT,15:00:00 20-Apr-2016,,,,0.0,16.7,Status
"141259",141259,,MiniPAT,17:00:00 20-Apr-2016,,,,0.0,16.6,Status
"141259",141259,,MiniPAT,21:00:00 20-Apr-2016,,,,0.0,15.6,Status
"141259",141259,,MiniPAT,07:00:00 21-Apr-2016,,,,0.0,15.9,Status
"141259",141259,,MiniPAT,09:00:00 21-Apr-2016,,,,0.0,15.9,Status
"141259",141259,,MiniPAT,10:00:00 21-Apr-2016,,,,0.0,16.0,Status
"141259",141259,,MiniPAT,18:00:00 21-Apr-2016,,,,0.0,16.3,Status
"141259",141259,,MiniPAT,11:00:00 22-Apr-2016,,,,0.0,16.4,Status
"141259",141259,,MiniPAT,17:00:00 22-Apr-2016,,,,0.0,16.5,Status
"141259",141259,,MiniPAT,23:00:00 22-Apr-2016,,,,0.0,16.4,Status
"141259",141259,,MiniPAT,16:00:00 23-Apr-2016,,,,0.0,16.5,Status
"141259",141259,,MiniPAT,22:00:00 23-Apr-2016,,,,0.0,16.4,Status
"141259",141259,,MiniPAT,23:00:00 23-Apr-2016,,,,0.0,16.4,Status
"141259",141259,,MiniPAT,08:00:00 24-Apr-2016,,,,0.0,16.1,Status
"141259",141259,,MiniPAT,09:00:00 24-Apr-2016,,,,0.0,16.1,Status
"141259",141259,,MiniPAT,14:00:00 24-Apr-2016,,,,0.0,16.5,Status
"141259",141259,,MiniPAT,01:00:00 25-Apr-2016,,,,0.0,16.5,Status
"141259",141259,,MiniPAT,09:00:00 25-Apr-2016,,,,0.0,16.1,Status
